City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descrption,Rain inches (last 3 hours),Snow inches (last 3 hours)
198,Paso De Los Toros,UY,2020-01-04 20:53:59,-32.81,-56.52,81.81,38,0,5.55,clear sky,0.0,0.0
199,Surgut,RU,2020-01-04 20:54:00,61.25,73.4,24.8,100,90,13.42,overcast clouds,0.0,0.0
200,Wewak,PG,2020-01-04 20:54:00,-3.55,143.63,75.49,94,100,7.74,moderate rain,11.13,0.0
201,Havelock,US,2020-01-04 20:54:00,34.88,-76.9,78.8,93,90,11.41,mist,0.0,0.0
202,Santa Maria,BR,2020-01-04 20:54:00,-16.02,-48.01,71.6,88,90,3.36,overcast clouds,0.0,0.0
203,Fairbanks,US,2020-01-04 20:54:01,64.84,-147.72,-18.0,73,89,3.29,overcast clouds,0.0,0.0
204,Severo-Yeniseyskiy,RU,2020-01-04 20:54:01,60.37,93.04,10.8,87,100,14.76,overcast clouds,0.0,0.0
205,Camapua,BR,2020-01-04 20:54:01,-19.53,-54.04,85.12,61,22,5.44,few clouds,0.0,0.0
206,Biak,ID,2020-01-04 20:54:01,-0.91,122.88,81.61,79,100,13.47,moderate rain,4.5,0.0
207,Sandwick,GB,2020-01-04 20:54:01,54.57,-2.89,46.99,100,100,19.46,fog,0.0,0.0
208,Aykhal,RU,2020-01-04 20:50:08,65.95,111.51,-23.8,74,15,4.47,few clouds,0.0,0.0
209,Cape Coast,GH,2020-01-04 20:54:02,5.11,-1.24,82.08,55,78,12.5,broken clouds,0.0,0.0
210,Paamiut,GL,2020-01-04 20:54:02,61.99,-49.67,26.4,72,100,12.12,overcast clouds,0.0,0.0
211,Bilma,NE,2020-01-04 20:54:02,18.69,12.92,49.51,34,0,3.24,clear sky,0.0,0.0
212,Nemuro,JP,2020-01-04 20:54:03,43.32,145.57,23.68,62,21,14.83,few clouds,0.0,0.0
213,Palatka,RU,2020-01-04 20:54:03,60.1,150.94,7.81,77,95,6.67,overcast clouds,0.0,0.0
214,Mahibadhoo,MV,2020-01-04 20:54:03,3.78,72.97,81.75,77,58,8.16,moderate rain,3.69,0.0
215,Inta,RU,2020-01-04 20:54:04,66.04,60.13,26.19,83,43,24.43,scattered clouds,0.0,0.0
216,Itarema,BR,2020-01-04 20:50:08,-2.92,-39.92,80.62,74,62,7.2,broken clouds,0.0,0.0
217,Jaisalmer,IN,2020-01-04 20:54:04,26.91,70.91,60.28,38,7,4.07,clear sky,0.0,0.0
218,Tamandare,BR,2020-01-04 20:54:04,-8.28,-70.75,86.32,65,100,1.83,overcast clouds,0.0,0.0
219,Eureka,US,2020-01-04 20:54:05,40.8,-124.16,55.99,81,1,5.82,clear sky,0.0,0.0
220,Salinopolis,BR,2020-01-04 20:54:05,-0.61,-47.36,82.85,73,100,8.21,overcast clouds,0.0,0.0
221,Omboue,GA,2020-01-04 20:54:05,-1.57,9.26,76.48,93,100,3.11,light rain,2.56,0.0
222,Porbandar,IN,2020-01-04 20:54:05,21.64,69.61,70.77,55,0,13.94,clear sky,0.0,0.0
223,Zhuhai,CN,2020-01-04 20:54:05,40.71,112.04,14.0,66,67,6.71,broken clouds,0.0,0.0
224,Doka,SD,2020-01-04 20:54:06,13.52,35.76,73.9,44,0,11.88,clear sky,0.0,0.0
225,Havre-Saint-Pierre,CA,2020-01-04 20:52:22,50.23,-63.6,19.4,85,1,3.36,clear sky,0.0,0.0
226,Dzhebariki-Khaya,RU,2020-01-04 20:54:06,62.22,135.8,-25.67,95,100,1.32,overcast clouds,0.0,0.0
227,Bay-Khaak,RU,2020-01-04 20:54:07,51.16,94.47,2.41,77,41,5.82,scattered clouds,0.0,0.0
